step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
835,2023-07-03 09:08:08.473512361,1,193.7,95.0,-0.06286260464465386,0.03591850464463453,0.010000000000019327,0.0169441
838,2023-07-03 09:08:08.473717649,1,193.7,102.0,-0.18296783194907754,0.15656513194905822,0.010000000000019327,0.0164027
842,2023-07-03 09:08:08.474097984,2,193.7,80.0,-0.28044408204303506,0.25398218204301576,0.010000000000019327,0.0164619
852,2023-07-03 09:09:42.643600396,1,193.75,76.0,-0.21660942322318286,0.17959252322317262,0.020000000000010232,0.0170169
853,2023-07-03 09:09:42.643600396,1,193.76,70.0,-0.10733311803556404,0.08031621803554471,0.010000000000019327,0.0170169
856,2023-07-03 09:09:42.643600396,1,193.77,180.0,-0.10859147804103227,0.09157457804103226,0.0,0.0170169
865,2023-07-03 09:09:42.663460524,2,193.8,122.0,-0.8209853571785581,0.774541557178557,0.030000000000001137,0.0164438
874,2023-07-03 09:11:19.286403412,1,193.8,146.0,-0.3177349632294953,0.27117876322949414,0.030000000000001137,0.0165562
930,2023-07-03 09:20:04.847335625,1,193.71,61.0,-0.2668506102342258,0.12950601023422126,0.12000000000000455,0.0173446
935,2023-07-03 09:20:04.847335625,2,193.68,75.0,-0.2476608180355504,0.08031621803554471,0.15000000000000568,0.0173446
936,2023-07-03 09:20:04.847335625,1,193.65,223.0,-0.22274281820430838,0.025398218204301576,0.18000000000000682,0.0173446
949,2023-07-03 09:24:27.124206383,2,193.71,166.0,-0.1421373182042959,0.025398218204301576,0.09999999999999432,0.0167391
962,2023-07-03 09:28:42.723983405,2,193.78,92.0,-0.06728073640860316,0.05079643640860315,0.0,0.0164843
997,2023-07-03 09:32:15.807247212,1,193.74,138.0,-0.09365606911272636,0.06719736911273545,0.009999999999990905,0.0164587
1011,2023-07-03 09:34:12.147908013,1,193.7,78.0,-0.09257931820431295,0.025398218204301576,0.05000000000001137,0.0171811
1014,2023-07-03 09:34:12.148663144,2,193.68,206.0,-0.1671019180355379,0.08031621803554471,0.06999999999999318,0.0167857
1021,2023-07-03 09:35:15.557345943,1,193.67,95.0,-0.08193981820432204,0.025398218204301576,0.040000000000020464,0.0165416
1022,2023-07-03 09:35:38.362654286,1,193.65,202.0,-0.05189121820429248,0.025398218204301576,0.009999999999990905,0.016493
1035,2023-07-03 09:37:28.763847951,1,193.62,130.0,-0.08275571820429362,0.025398218204301576,0.03999999999999204,0.0173575
